1	290
1	10331
1	75918
4	36435
4	14800
4	95763
4	92770
6	39311
7	35792
7	50710
7	33824
10	74521
10	92849
10	11320
10	12053
10	97134
10	49174
10	76763
10	90558
10	16253
10	53490
10	75918
10	101058
10	81773
10	84831
10	72797
10	17295
11	32807
11	487
11	85952
11	48976
11	103735
11	66504
11	104509
12	8473
12	60101
12	100317
12	60836
15	59997
15	7408
15	99279
16	78570
16	100344
18	290
18	16253
18	81187
18	39311
20	59997
20	92849
21	76904
21	39368
24	101990
24	104631
24	11094
24	57940
24	51742
24	110882
24	50655
24	107946
26	38123
26	104509
32	86661
33	59997
36	59997
37	16253
37	104402
37	37732
37	100753
37	42114
37	4643
37	39311
39	59997
39	55209
39	48764
42	59432
42	38109
44	31084
48	80953
50	59997
50	98491
51	16700
51	88737
53	100576
53	78622
54	70772
55	59997
55	290
55	55209
56	49174
60	90077
60	37465
60	104509
62	94000
62	8990
63	16253
63	52428
63	50889
63	45800
64	290
64	93728
64	3022
64	11628
64	75918
64	36174
64	32024
64	46085
64	96052
64	9202
64	76763
65	92490
65	19588
65	39311
65	34937
68	14800
69	290
69	37320
69	79303
70	59997
70	90720
72	37732
72	8473
72	83094
72	76763
75	98114
75	18266
75	33547
75	22735
75	43017
75	45977
76	59997
76	35227
76	16848
76	6356
76	55209
76	4174
77	59997
77	16253
77	52428
77	88839
77	69211
78	68406
78	73588
78	39311
79	59997
80	290
81	92849
81	413
81	49174
81	10028
81	71049
81	83907
81	35084
81	35227
81	5356
81	77521
81	68447
81	91552
81	107605
81	101067
81	15379
81	16148
81	1178
81	12819
81	16671
81	76763
81	30332
81	80600
81	62861
81	16485
81	25820
81	75918
81	36480
81	52428
81	98979
84	92832
84	59997
84	12880
84	90103
85	67627
86	78570
86	8419
87	92849
87	41113
87	5356
87	36336
88	68406
88	39311
89	105149
90	68406
90	73588
91	68406
91	16848
91	64307
91	48381
91	42698
91	56016
91	59997
91	17128
91	84831
91	82359
91	38323
91	14408
91	76763
95	48619
95	83459
95	4541
95	89866
95	17697
95	60101
95	89465
95	44396
95	77069
95	64934
95	26092
95	18507
95	100080
95	45255
95	101227
95	82103
96	59997
96	67627
97	59997
100	59997
101	78570
101	76904
101	40916
101	67276
101	11094
101	32896
101	44810
101	12819
101	4739
102	73588
103	34937
103	86511
103	35084
106	23962
107	67627
107	42698
107	27029
107	9536
107	32713
107	42703
107	24163
107	56102
107	78622
107	37465
107	24564
107	35084
107	33824
107	19781
107	79899
107	14984
107	1789
107	39483
107	95062
107	93728
107	36142
107	79273
107	89774
107	100340
107	100753
107	60592
107	100655
107	80124
107	17037
107	16253
107	5426
107	50048
107	25820
107	31084
107	40254
107	56863
107	43366
107	89049
107	28263
107	52428
107	67564
107	93856
107	105439
107	60605
107	92849
107	16728
107	13765
107	24114
107	97553
107	47562
107	67897
107	91443
107	1605
107	85584
107	28168
107	38153
107	63244
107	100258
107	16848
107	50380
107	70338
107	5356
107	37732
107	21223
107	35133
107	69211
107	26264
107	55729
107	59997
107	21886
107	23736
107	63578
107	82757
